file_a	file_b	issue_type	severity	description	fix_recommendation
syntax-search.html	syntax-registry.json	SCORING_CONTRACT	high	candidateToRole() in CANDIDATE_TO_ROLE has 19 entries that reference non-existent registry IDs (e.g., 'genitive.of_apposition', 'genitive.of_relationship', 'dative.of_possession', 'dative.of_agency', 'participle.adverbial_purpose'). These are legacy/alias names that don't match current registry type IDs. SyntaxAnalyzer emits registry IDs, so none of these 19 entries will ever be triggered.	Replace dead keys with actual registry IDs: genitive.of_apposition→genitive.epexegetical, genitive.of_relationship→genitive.relationship, genitive.of_source→genitive.separation, genitive.of_material→genitive.material, genitive.of_content→genitive.content, genitive.of_time→genitive.time, genitive.of_place→genitive.place, genitive.of_comparison→genitive.comparison, genitive.direct_object→(remove; no registry entry), genitive.of_price→(remove; no registry entry), dative.of_possession→(remove; no registry entry), dative.of_time→dative.time, dative.of_place→(remove; no registry entry), dative.of_association→dative.association, dative.of_agency→dative.agent, dative.of_advantage→dative.interest_advantage, dative.of_disadvantage→dative.interest_disadvantage, participle.adverbial_purpose→participle.adverbial_purpose_result
syntax-search.html	syntax-registry.json	UI_CONTRACT	high	11 active registry types have no CANDIDATE_TO_ROLE entry and silently fall to default 'mod': genitive.attributive, genitive.epexegetical, genitive.comparison, genitive.separation, genitive.time, dative.interest_advantage, dative.interest_disadvantage, dative.sphere, dative.time, dative.association, participle.adverbial_attendant. Of these, participle.adverbial_attendant returns 'mod' but should be 'ptc', causing wrong role icon/color in §1 hero.	Add missing entries to CANDIDATE_TO_ROLE for all active registry types. At minimum add 'participle.adverbial_attendant':'ptc'. For genitive/dative types that correctly map to 'mod', explicit entries are optional but recommended for maintainability.
syntax-registry.json	query_axis.tsv	CROSS_FILE_CONSISTENCY	high	Complete namespace mismatch between the two ID systems. syntax-registry.json uses semantic IDs (genitive.possessive, dative.indirect_object, participle.adverbial_temporal). query_axis.tsv uses Wallace cheatsheet IDs (cs21, cs72, cs377). There is no bridge file, field, or cross-reference connecting them. The intended query→axis→registry→pattern path cannot be completed: axis lookup returns cs* IDs, but the registry scorer only understands genitive.*/dative.*/participle.* IDs.	Add a cs_id or node_id field to each registry type definition (e.g., "cs_id": "cs21" for genitive.possessive). Alternatively, add a separate mapping file registry_to_cs.json. Proposal only—no redesign of axis or registry structure required.
syntax-registry.json	query_expansion_map.tsv	CROSS_FILE_CONSISTENCY	high	Same namespace mismatch as axis file. query_expansion_map.tsv uses cs*/si* node IDs (cs21 for Possessive Genitive, cs397 for Genitive Absolute). No registry entry has a field linking it to its corresponding cs*/si* node. Synonym expansion output cannot be used to target registry-based scoring.	Same fix as axis mismatch: add cs_id field to registry types or create a bridging map.
syntax_patterns.tsv	query_axis.tsv	PATTERN_CONSISTENCY	high	cs362 is used for two semantically distinct pattern types in syntax_patterns.tsv: (1) "Substantival Participle Clause" (line 8) and (2) "Substantival Infinitive (Subject/Object)" (line 11). In query_axis.tsv, cs362 has a single axis weight set (morphology:1.0, syntax:0.8, clause:0.6) that cannot distinguish between participial and infinitival substantival uses. Participles have verbal morphological features; infinitives do not. The shared node ID creates ambiguous axis ranking.	Assign a distinct cs node ID to Substantival Infinitive (e.g., introduce cs362a or use an existing node like cs353/cs353a) so axis weights can be differentiated. Proposal only—no axis redesign.
syntax-registry.json	syntax-analyzer.js	SCORING_CONTRACT	medium	CandidateNormalizer hardcodes fallback confidence thresholds as {high:70, medium:50} (line 1513 of syntax-analyzer.js). Registry shared config defines them as {high:75, medium:55}. If shared config is ever null or the field is renamed, the analyzer will silently apply incorrect thresholds, changing tier labels (high/medium/low) and confidence colors without error.	Change fallback values to match registry: ?? { high: 75, medium: 55 }. Or add a startup assertion that throws if shared.confidence_thresholds is missing.
syntax-registry.json	syntax-analyzer.js	DETECTION_LOGIC	medium	In multiple registry types (genitive.possessive, genitive.descriptive, dative.means confirmed; others likely), the 'after_preposition' signal appears in THREE places: detection.conditions[], detection.exclusions[], and xsc.signals[] with value -40/-50. Because _evaluateType() checks exclusions BEFORE signals, when after_preposition is TRUE the candidate gets rawScore=0 via exclusion and never reaches XSC evaluation. When after_preposition is FALSE, the XSC signal evaluates to false and adds 0 to the score. The -40/-50 XSC penalty for after_preposition is never applied to any score—it is dead code. It also never appears in the XSC delta panel.	Remove after_preposition from xsc.signals[] for types where it already appears in exclusions[]. The exclusion mechanism is sufficient. Alternatively, document explicitly that the XSC signal is intentionally defensive/display-only. Proposal only.
syntax-registry.json	syntax-analyzer.js	DETECTION_LOGIC	medium	In genitive.possessive and genitive.descriptive, both 'no_preposition' (NOT prev_pos_eq('P')) and 'after_preposition' (prev_pos_eq('P')) appear together in detection.conditions[]. These are mutually exclusive: any token satisfies exactly one. If 'after_preposition' is in exclusions[], it causes hard exclusion before reaching signals, making the no_preposition/after_preposition pair in conditions[] asymmetric: no_preposition (+10) can contribute; after_preposition (-40) cannot. This creates misleading conditions[] semantics.	For types where after_preposition is in exclusions[], remove it from conditions[] to make the semantics explicit: conditions[] are for scoring signals, exclusions[] are for hard filters. Proposal only.
syntax-registry.json	syntax_patterns.tsv	CROSS_FILE_CONSISTENCY	medium	genitive.absolute (active) in registry maps to Wallace §4.D (Genitive Absolute) and uses a genitive_participle signal. syntax_patterns.tsv maps cs397:Genitive Absolute. In query_axis.tsv, cs397 has clause:1.0 and syntax:0.7 axes but NO morphology axis entry. Since Genitive Absolute has a required morphological feature (participle in genitive case), the absence of a morphology axis entry for cs397 means morphology-axis queries won't surface this pattern.	Add cs397 morphology entry to query_axis.tsv with appropriate weight (e.g., 0.90) to reflect the strong morphological constraint. Proposal only—no axis redesign.
query_axis.tsv	query_expansion_map.tsv	EXPANSION_SAFETY	medium	cs397 (Genitive Absolute) has an axis entry in query_axis.tsv but no corresponding expansion/synonym entry in query_expansion_map.tsv. Users searching for "genitive absolute" by synonyms (e.g., "absolute participle", "absolute construction") won't find it through expansion. Contrast with cs378 which has both axis and expansion entries.	Add cs397 to query_expansion_map.tsv with synonyms: "absolute participle; absolute construction; genitive participle clause; participial absolute". Proposal only.
query_axis.tsv	query_expansion_map.tsv	EXPANSION_SAFETY	medium	cs378 (temporal dative) has high axis weights across all three axes (morphology:1.0, syntax:0.8, clause:0.7). Combined with the "45-hit problem" noted in project context, cs378 temporal expansions will over-retrieve results. The high axis weights amplify the over-expansion effect for any query using cs378 synonyms.	Reduce cs378 axis weights (e.g., morphology:0.7, syntax:0.6, clause:0.5) or narrow cs378 synonyms in query_expansion_map.tsv to reduce false positive recall. Proposal only.
syntax-registry.json	syntax-analyzer.js	SCORING_CONTRACT	low	stub candidates skip the exclusion check in _evaluateType() (lines 1581-1591 run before line 1593). Stubs return rawScore=default_confidence (e.g., 30-40) even if an exclusion condition is met. This means stub candidates for the wrong case type could appear in results if the required_case check passes but an exclusion should eliminate them. In practice, stubs are filtered by status in renderCandidates() (active shown first), so runtime impact is limited.	Move exclusion check before the stub early-return, or document explicitly that stubs intentionally bypass exclusions. Low priority since stubs are display-separated in UI.
syntax-search.html	syntax-registry.json	UI_CONTRACT	low	§1 (renderRoleHero) and §2 (renderCandidates) both display candidates[0]. §2's first visible item is the same candidate as §1. No structural overlap or inversion of data—it is intentional redundancy in the display—but the same candidate is rendered twice in the UI (once as hero, once as top item in candidate list).	If §2 is intended to show "other candidates besides §1", filter out candidates[0] from the §2 list. If the intent is to show all candidates including the top one, add a visual indicator to §2's first item marking it as the primary selection. Proposal only.
syntax-search.html	syntax-analyzer.js	UI_CONTRACT	low	Conflict note threshold (0.15 confidence delta, line 2542 of syntax-search.html) is hardcoded in the UI and not defined in or derived from registry shared config. If scoring weights change causing natural confidence deltas to shift, the threshold will not update automatically, potentially showing false conflict notes or missing real conflicts.	Add conflict_threshold to registry shared config (e.g., "conflict_threshold": 0.15) and read it in the UI at renderCandidates time. Proposal only.
syntax-search.html	syntax-analyzer.js	SCORING_CONTRACT	low	Two rendering contexts use confidence in different units without conversion: confBarColor(confidence) and confTierLabel(confidence) in §2 candidate list use 0.0-1.0 float (from cand.confidence); usage.confidence in buildXscPanel (line 2040, 2495) uses integer 0-100 (from participle classifyParticipleFull output). Same variable name, different units. Not a runtime bug currently (different code paths), but a maintenance risk if either path is refactored.	Add a comment or rename to confFloat (0-1) vs confPct (0-100) in buildXscPanel context to make units explicit.
syntax_patterns.tsv	syntax_patterns.tsv	PATTERN_CONSISTENCY	low	File is named syntax_patterns.tsv (underscore) but referenced in audit specification and project documentation as syntax-patterns.tsv (hyphen). No runtime impact since no code in syntax-search.html or syntax-analyzer.js directly loads this file, but may cause confusion in scripts or tooling.	Standardize filename convention. Either rename to syntax-patterns.tsv (matching hyphenated convention of syntax-registry.json, syntax-search.html, syntax-analyzer.js) or update documentation to reflect underscore convention.
