id	label	parent	source
si30	futuristic see aorist tense: proleptic global see aorist tense: constative gnomic	cs326	subject_index
si31	imperative	cs326	subject_index
si32	inceptive see aorist tense: ingressive inchoative see aorist tense: ingressive	cs326	subject_index
si33	infinitive	cs326	subject_index
si34	indicative	cs326	subject_index
si35	middle	cs326	subject_index
si36	once-for-all	cs326	subject_index
si37	participle	cs326	subject_index
si38	passive	cs326	subject_index
si39	(in) prohibitions	cs326	subject_index
si40	punctiliar see aorist tense: constative retained in indirect discourse	cs326	subject_index
si41	(with) stative verbs	cs326	subject_index
si42	subjunctive	cs326	subject_index
si43	time	cs326	subject_index
si44	unaffected	cs326	subject_index
si45	dependent	cs98	subject_index
si46	function marker	cs98	subject_index
si47	independent	cs98	subject_index
si48	modifying	cs98	subject_index
si49	neuter singular	cs98	subject_index
si50	origin	cs98	subject_index
si51	previous reference see article: anaphoric pronominal	cs98	subject_index
si52	(with) quotations	cs98	subject_index
si53	regular uses	cs98	subject_index
si54	simple identification	cs98	subject_index
si55	(with) article	cs395	subject_index
si56	asyndetic	cs395	subject_index
si57	causal	cs395	subject_index
si58	comparative	cs395	subject_index
si59	complementary	cs395	subject_index
si60	conditional	cs395	subject_index
si61	conjunctive	cs395	subject_index
si62	contrastive	cs395	subject_index
si63	correlative	cs395	subject_index
si64	declarative	cs395	subject_index
si65	direct object	cs395	subject_index
si66	disjunctive	cs395	subject_index
si67	embedded	cs395	subject_index
si68	equative	cs395	subject_index
si69	explanatory	cs395	subject_index
si70	indefinite	cs395	subject_index
si71	independent	cs395	subject_index
si72	inferential	cs395	subject_index
si73	infinitival	cs395	subject_index
si74	instrumental (means)	cs395	subject_index
si75	local	cs395	subject_index
si76	manner	cs395	subject_index
si77	nonequative	cs395	subject_index
si78	participial	cs395	subject_index
si79	purpose (telic)	cs395	subject_index
si80	recitative	cs395	subject_index
si81	relative	cs395	subject_index
si82	result (ecbatic)	cs395	subject_index
si83	sub-final	cs395	subject_index
si84	subject	cs395	subject_index
si85	temporal	cs395	subject_index
si86	transitional	cs395	subject_index
si87	transitive	cs395	subject_index
si88	volitional	cs395	subject_index
si89	aspect	cs436	subject_index
si90	hortatory subjunctive	cs436	subject_index
si91	imperatival ἵνα	cs436	subject_index
si92	imperatival infinitive	cs436	subject_index
si93	indirect	cs436	subject_index
si94	perfect	cs436	subject_index
si95	traditional view	cs436	subject_index
si96	apodosis	cs426	subject_index
si97	first class	cs426	subject_index
si98	fifth class	cs426	subject_index
si99	implicit	cs426	subject_index
si100	protasis	cs426	subject_index
si101	questions	cs426	subject_index
si102	simple	cs426	subject_index
si103	structural categories	cs426	subject_index
si104	systems of classification	cs426	subject_index
si105	third class	cs426	subject_index
si106	unreal see conditions: second class	cs426	subject_index
si107	adjunctive	cs404	subject_index
si108	hypotactic	cs404	subject_index
si109	paratactic	cs404	subject_index
si110	abstract	cs53	subject_index
si111	adverbial	cs53	subject_index
si112	comitative	cs53	subject_index
si113	contextualizing	cs53	subject_index
si114	existential	cs53	subject_index
si115	impersonal	cs53	subject_index
si116	indirect object	cs53	subject_index
si117	infinitive (articular)	cs53	subject_index
si118	instrumental	cs53	subject_index
si119	limiting	cs53	subject_index
si120	local	cs53	subject_index
si121	nonassociative	cs53	subject_index
si122	opinion	cs53	subject_index
si123	personal	cs53	subject_index
si124	(with) pronouns	cs53	subject_index
si125	pure	cs53	subject_index
si126	qualifying	cs53	subject_index
si127	aspect	cs334	subject_index
si128	(in) commands	cs334	subject_index
si129	(in) conditions	cs334	subject_index
si130	emphatic negation	cs334	subject_index
si131	(after) ἵνα	cs334	subject_index
si132	indefinite relative clause	cs334	subject_index
si133	indicative	cs334	subject_index
si134	infinitive	cs334	subject_index
si135	middle	cs334	subject_index
si136	participle	cs334	subject_index
si137	passive	cs334	subject_index
si138	periphrastic	cs334	subject_index
si139	(in) questions	cs334	subject_index
si140	subjunctive equivalents	cs334	subject_index
si141	time	cs334	subject_index
si142	ablatival	cs19	subject_index
si143	adjectival	cs19	subject_index
si144	adverbial	cs19	subject_index
si145	(after) adverbs	cs19	subject_index
si146	anarthrous	cs19	subject_index
si147	apposition, gen. of	cs19	subject_index
si148	apposition, simple	cs19	subject_index
si149	appositional	cs19	subject_index
si150	chains see genitive case: concatenative	cs19	subject_index
si151	cognate	cs19	subject_index
si152	concatenative	cs19	subject_index
si153	definition	cs19	subject_index
si154	direct object	cs19	subject_index
si155	direction see genitive case: destination	cs19	subject_index
si156	domicile	cs19	subject_index
si157	epexegetical see genitive case: apposition Hebrew see genitive case: attributive infinitive (articular)	cs19	subject_index
si158	nominal	cs19	subject_index
si159	possession	cs19	subject_index
si160	pregnant	cs19	subject_index
si161	production/producer	cs19	subject_index
si162	restriction	cs19	subject_index
si163	reverse	cs19	subject_index
si164	space	cs19	subject_index
si165	unaffected	cs19	subject_index
si166	value see genitive case: price verbal	cs19	subject_index
si167	VS. accusative	cs19	subject_index
si168	aorist	cs290	subject_index
si169	passive	cs290	subject_index
si170	perfect	cs290	subject_index
si171	performative see imperative mood: pronouncement permissive	cs290	subject_index
si172	prohibitive	cs290	subject_index
si173	present	cs290	subject_index
si174	request	cs290	subject_index
si175	second person	cs290	subject_index
si176	time element	cs290	subject_index
si177	unaffected	cs290	subject_index
si178	broad-band	cs315	subject_index
si179	aspect	cs315	subject_index
si180	(in) conditions	cs315	subject_index
si181	desiderative	cs315	subject_index
si182	distributive	cs315	subject_index
si183	general see imperfect tense: customary gnomic	cs315	subject_index
si184	inceptive see imperfect tense: ingressive inchoative see imperfect tense: ingressive indicative	cs315	subject_index
si185	habitual see imperfect tense: customary middle	cs315	subject_index
si186	narrow-band	cs315	subject_index
si187	passive	cs315	subject_index
si188	periphrastic	cs315	subject_index
si189	special uses	cs315	subject_index
si190	tendential	cs315	subject_index
si191	time	cs315	subject_index
si192	unaffected	cs315	subject_index
si193	voluntative	cs315	subject_index
si194	aorist	cs249	subject_index
si195	future	cs249	subject_index
si196	imperfect	cs249	subject_index
si197	(after) ὅτι	cs249	subject_index
si198	participle for	cs249	subject_index
si199	perfect	cs249	subject_index
si200	pluperfect	cs249	subject_index
si201	present	cs249	subject_index
si202	(in) relative clauses	cs249	subject_index
si203	(after) ὥστε	cs249	subject_index
si204	adjectival	cs352	subject_index
si205	anarthrous	cs352	subject_index
si206	aorist	cs352	subject_index
si207	articular	cs352	subject_index
si208	dative articular	cs352	subject_index
si209	future	cs352	subject_index
si210	genitive articular	cs352	subject_index
si211	independent	cs352	subject_index
si212	nominal	cs352	subject_index
si213	present	cs352	subject_index
si214	(after) prepositions	cs352	subject_index
si215	simple	cs352	subject_index
si216	subject	cs352	subject_index
si217	supplementary see infinitive: complementary	cs352	subject_index
si218	time	cs352	subject_index
si219	time element	cs352	subject_index
si220	(with) two accusatives	cs352	subject_index
si221	verbal	cs352	subject_index
si222	(with) agent	cs231	subject_index
si223	aorist	cs231	subject_index
si224	future	cs231	subject_index
si225	imperfect	cs231	subject_index
si226	indirect redundant	cs231	subject_index
si227	perfect	cs231	subject_index
si228	pluperfect	cs231	subject_index
si229	present	cs231	subject_index
si230	redundant reciprocal	cs231	subject_index
si231	address see nominative: (for) vocative appellation	cs0	subject_index
si232	(with) article	cs0	subject_index
si233	cognate	cs0	subject_index
si234	independent	cs0	subject_index
si235	interjectional	cs0	subject_index
si236	par excellence	cs0	subject_index
si237	participle	cs0	subject_index
si238	plural	cs0	subject_index
si239	(after) prepositions	cs0	subject_index
si240	reference	cs0	subject_index
si241	unaffected	cs0	subject_index
si242	epistolary plural	cs216	subject_index
si243	literary plural	cs216	subject_index
si244	neuter plural see neuter gender: plural	cs216	subject_index
si245	ordinal	cs216	subject_index
si246	second person imperative	cs216	subject_index
si247	plural nominatives	cs216	subject_index
si248	plural verbs	cs216	subject_index
si249	plural vocatives	cs216	subject_index
si250	(with) pronouns	cs216	subject_index
si251	singular verbs	cs216	subject_index
si252	perfect	cs285	subject_index
si253	time element	cs285	subject_index
si254	appositional	cs285	subject_index
si255	causal	cs285	subject_index
si256	declarative	cs285	subject_index
si257	epexegetical	cs285	subject_index
si258	recitative	cs285	subject_index
si259	accusative	cs371	subject_index
si260	adverbial	cs371	subject_index
si261	anarthrous	cs371	subject_index
si262	antecedent	cs371	subject_index
si263	aorist	cs371	subject_index
si264	articular	cs371	subject_index
si265	contemporaneous	cs371	subject_index
si266	future	cs371	subject_index
si267	genitive absolute	cs371	subject_index
si268	modal	cs371	subject_index
si269	nominative absolute	cs371	subject_index
si270	(with) nominatives	cs371	subject_index
si271	perfect	cs371	subject_index
si272	present	cs371	subject_index
si273	redundant	cs371	subject_index
si274	subsequent	cs371	subject_index
si275	time element	cs371	subject_index
si276	verbal	cs371	subject_index
si277	aorist	cs239	subject_index
si278	divine passive	cs239	subject_index
si279	future	cs239	subject_index
si280	imperative	cs239	subject_index
si281	imperfect	cs239	subject_index
si282	perfect	cs239	subject_index
si283	pluperfect	cs239	subject_index
si284	present	cs239	subject_index
si285	aspect	cs340	subject_index
si286	collapsed	cs340	subject_index
si287	historical see perfect tense: aoristic imperative	cs340	subject_index
si288	indicative	cs340	subject_index
si289	intensive-extensive	cs340	subject_index
si290	middle	cs340	subject_index
si291	optative	cs340	subject_index
si292	participle	cs340	subject_index
si293	passive	cs340	subject_index
si294	periphrastic	cs340	subject_index
si295	resultative see perfect tense: intensive specialized	cs340	subject_index
si296	time	cs340	subject_index
si297	unaffected	cs340	subject_index
si298	"editorial ""we"" see number: epistolary plural exclusive ""we"""	cs223	subject_index
si299	first for third	cs223	subject_index
si300	first person plural	cs223	subject_index
si301	first person singular	cs223	subject_index
si302	indefinite second person see person: second for third second for third	cs223	subject_index
si303	aspect	cs348	subject_index
si304	(in) conditions	cs348	subject_index
si305	consummative see pluperfect tense: extensive extensive	cs348	subject_index
si306	indicative	cs348	subject_index
si307	middle	cs348	subject_index
si308	passive	cs348	subject_index
si309	periphrastic	cs348	subject_index
si310	(with) simple past force	cs348	subject_index
si311	time	cs348	subject_index
si312	advantage	cs222	subject_index
si313	agency	cs222	subject_index
si314	association/accompaniment	cs222	subject_index
si315	cause	cs222	subject_index
si316	comparison	cs222	subject_index
si317	disadvantage	cs222	subject_index
si318	distributive	cs222	subject_index
si319	exchange/equivalence	cs222	subject_index
si320	improper	cs222	subject_index
si321	instrumental/means	cs222	subject_index
si322	manner	cs222	subject_index
si323	motion	cs222	subject_index
si324	nature	cs222	subject_index
si325	object of	cs222	subject_index
si326	opposition	cs222	subject_index
si327	overlapping usage	cs222	subject_index
si328	partitive	cs222	subject_index
si329	purpose	cs222	subject_index
si330	rank/priority	cs222	subject_index
si331	reference/respect	cs222	subject_index
si332	representation	cs222	subject_index
si333	result	cs222	subject_index
si334	separation	cs222	subject_index
si335	source	cs222	subject_index
si336	spatial	cs222	subject_index
si337	sphere	cs222	subject_index
si338	standard	cs222	subject_index
si339	stative	cs222	subject_index
si340	substitution	cs222	subject_index
si341	temporal	cs222	subject_index
si342	thing possessed	cs222	subject_index
si343	affected	cs299	subject_index
si344	aspect	cs299	subject_index
si345	broad-band	cs299	subject_index
si346	distributive	cs299	subject_index
si347	durative	cs299	subject_index
si348	general see present tense: customary	cs299	subject_index
si349	habitual see present tense: customary	cs299	subject_index
si350	imperative	cs299	subject_index
si351	indicative	cs299	subject_index
si352	infinitive	cs299	subject_index
si353	ingressive-futuristic	cs299	subject_index
si354	ingressive-progressive	cs299	subject_index
si355	middle	cs299	subject_index
si356	narrow-band	cs299	subject_index
si357	passive	cs299	subject_index
si358	participle	cs299	subject_index
si359	performative	cs299	subject_index
si360	periphrastic	cs299	subject_index
si361	(in) prohibitions	cs299	subject_index
si362	special uses	cs299	subject_index
si363	stative	cs299	subject_index
si364	tendential	cs299	subject_index
si365	time	cs299	subject_index
si366	unaffected	cs299	subject_index
si367	voluntative	cs299	subject_index
si368	conjunctive	cs174	subject_index
si369	correlative	cs174	subject_index
si370	identical	cs174	subject_index
si371	proleptic	cs174	subject_index
si372	redundant	cs174	subject_index
si373	resumptive	cs174	subject_index
si374	aorist	cs264	subject_index
si375	dependent	cs264	subject_index
si376	equivalents	cs264	subject_index
si377	future	cs264	subject_index
si378	futuristic	cs264	subject_index
si379	(after) ἵνα	cs264	subject_index
si380	independent	cs264	subject_index
si381	time element	cs264	subject_index
si382	volitional	cs264	subject_index
si383	accent	cs14	subject_index
si384	anarthrous	cs14	subject_index
si385	direct address	cs14	subject_index
si386	mid-sentence	cs14	subject_index
si387	nominative for	cs14	subject_index
si388	plural	cs14	subject_index
si389	unmarked	cs14	subject_index
si390	Ablative Case (= Genitive of Separation / Source)	cs19	merged
si391	Instrumental Case (= Dative of Means/Instrument, Agency, Manner)	cs53	merged
si392	Locative Case (= Dative of Sphere, Time)	cs53	merged
si393	content	cs270	subject_index
si394	purpose-result	cs270	subject_index
si395	result	cs270	subject_index
si396	substantival	cs270	subject_index
si397	converse of rule	cs149	subject_index
si398	abuse of rule	cs150	subject_index
si399	(with) impersonal substantives	cs150	subject_index
si400	(with) plural substantives	cs150	subject_index
si401	(with) proper names	cs150	subject_index
si402	statement of rule	cs150	subject_index
si403	validity of rule	cs150	subject_index
si404	adverb		subject_index
si405	(with) article	si404	subject_index
si406	(with) genitive	si404	subject_index
si407	comparative	si404	subject_index
si408	relative	si404	subject_index
si409	temporal	si404	subject_index
si410	agency		subject_index
si411	direct	si410	subject_index
si412	instrumental (means)	si410	subject_index
si413	intermediate	si410	subject_index
si414	personal	si410	subject_index
si415	ultimate	si410	subject_index
si416	aspect		subject_index
si417	aorist	si416	subject_index
si418	(in) commands	si416	subject_index
si419	external	si416	subject_index
si420	future	si416	subject_index
si421	imperfect	si416	subject_index
si422	internal	si416	subject_index
si423	perfect	si416	subject_index
si424	perfective-stative	si416	subject_index
si425	pluperfect	si416	subject_index
si426	portrayal vs. reality	si416	subject_index
si427	present	si416	subject_index
si428	progressive	si416	subject_index
si429	resultative	si416	subject_index
si430	simple occurrence	si416	subject_index
si431	cases		subject_index
si432	five-case system	si431	subject_index
si433	eight-case system	si431	subject_index
si434	oblique	si431	subject_index
si435	discourse		subject_index
si436	direct	si435	subject_index
si437	indirect	si435	subject_index
si438	gender		subject_index
si439	(with) pronouns	si438	subject_index
si440	grammar		subject_index
si441	descriptive	si440	subject_index
si442	prescriptive	si440	subject_index
si443	transformational	si440	subject_index
si444	moods		subject_index
si445	neuter gender		subject_index
si446	accusative	si445	subject_index
si447	nominative	si445	subject_index
si448	singular	si445	subject_index
si449	plural	si445	subject_index
si450	noun		subject_index
si451	abstract	si450	subject_index
si452	adjectival	si450	subject_index
si453	anarthrous	si450	subject_index
si454	articular	si450	subject_index
si455	(passim)	si450	subject_index
si456	concrete	si450	subject_index
si457	definite	si450	subject_index
si458	generic	si450	subject_index
si459	impersonal	si450	subject_index
si460	indeclinable	si450	subject_index
si461	indefinite	si450	subject_index
si462	monadic	si450	subject_index
si463	nominal	si450	subject_index
si464	par excellence	si450	subject_index
si465	personal	si450	subject_index
si466	proper	si450	subject_index
si467	qualitative	si450	subject_index
si468	verbal	si450	subject_index
si469	questions		subject_index
si470	conditional	si469	subject_index
si471	deliberative	si469	subject_index
si472	direct	si469	subject_index
si473	future tense	si469	subject_index
si474	indirect	si469	subject_index
si475	indicative	si469	subject_index
si476	interrogative	si469	subject_index
si477	rhetorical	si469	subject_index
si478	subjunctive	si469	subject_index
si479	recitative ὅτι see ὅτι: recitative redundancy	si469	subject_index
si480	sentence		subject_index
si481	complex	si480	subject_index
si482	compound	si480	subject_index
si483	passive transform	si480	subject_index
si484	structure	si480	subject_index
si485	types	si480	subject_index
si486	style	si480	subject_index
si487	subject		subject_index
si488	compound	si487	subject_index
si489	focus	si487	subject_index
si490	impersonal	si487	subject_index
si491	personal	si487	subject_index
si492	tense		subject_index
si493	see also individual tenses affected	si492	subject_index
si494	moods in	si492	subject_index
si495	nontemporal view of	si492	subject_index
si496	time	si492	subject_index
si497	and passim unaffected	si492	subject_index
si498	TSKS see Granville Sharp construction	si492	subject_index
si499	verb		subject_index
si500	augment	si499	subject_index
si501	(of) communication	si499	subject_index
si502	copula see verb: equative (of) desiring	si499	subject_index
si503	equative	si499	subject_index
si504	(of) exhorting	si499	subject_index
si505	(of) fearing	si499	subject_index
si506	(of) filling	si499	subject_index
si507	impersonal	si499	subject_index
si508	intransitive	si499	subject_index
si509	(of) perception	si499	subject_index
si510	plural	si499	subject_index
si511	singular	si499	subject_index
si512	(of) speaking	si499	subject_index
si513	stative	si499	subject_index
si514	transitive	si499	subject_index
si515	voice		subject_index
si516	Apocalypse, grammar of		subject_index
si517	Apollonius' canon	si516	subject_index
si518	Aktionsart		subject_index
si519	anacoluthon	si518	subject_index
si520	anaphora		subject_index
si521	antecedent		subject_index
si522	apposition		subject_index
si523	asyndeton		subject_index
si524	cause/causality		subject_index
si525	constructio ad sensum		subject_index
si526	contrast		subject_index
si527	convertible proposition		subject_index
si528	direct object		subject_index
si529	discourse analysis		subject_index
si530	imperfective		subject_index
si531	papyri		subject_index
si532	paragraph		subject_index
si533	parataxis		subject_index
si534	poetry		subject_index
si535	position		subject_index
si536	predicate	si535	subject_index
si537	possession		subject_index
si538	postcedent		subject_index
si539	purpose		subject_index
si540	speech act theory		subject_index
si541	subset proposition		subject_index
si542	verbless constructions		subject_index
