node	axis	query_terms	weight
si439	morphology	agency; means of action; agent expression	1.00
si439	syntax	agency; means of action; agent expression	0.80
si440	morphology	direct	1.00
si440	syntax	direct	0.80
si441	morphology	instrumental	0.70
si441	syntax	instrumental	0.56
si442	morphology	intermediate	1.00
si442	syntax	intermediate	0.80
si443	morphology	personal	1.00
si443	syntax	personal	0.80
si444	morphology	ultimate	1.00
si444	syntax	ultimate	0.80
si445	morphology	aspect; verbal aspect; aktionsart (related)	0.50
si446	morphology	aorist	1.00
si446	discourse	aorist	0.70
si447	clause	commands	1.00
si447	syntax	commands	0.80
si447	morphology	commands	0.35
si448	morphology	external	0.35
si449	morphology	future	1.00
si449	clause	future	1.00
si449	syntax	future	0.80
si450	morphology	imperfect	1.00
si451	morphology	internal	0.35
si452	morphology	perfect	1.00
si453	morphology	perfective; stative	1.00
si453	syntax	perfective; stative	0.80
si454	morphology	pluperfect	1.00
si455	morphology	portrayal; reality	0.35
si456	morphology	present	1.00
si456	syntax	present	0.80
si457	morphology	progressive	1.00
si457	clause	progressive	1.00
si457	syntax	progressive	0.80
si458	morphology	resultative	0.35
si459	morphology	simple; occurrence	1.00
si459	syntax	simple; occurrence	0.80
si460	morphology	cases; case system; five-case system; eight-case system	0.50
si460	syntax	cases; case system; five-case system; eight-case system	0.40
si461	morphology	five; case; system	1.00
si461	syntax	five; case; system	0.80
si462	morphology	eight; case; system	1.00
si462	syntax	eight; case; system	0.80
si463	morphology	oblique	1.00
si463	syntax	oblique	0.80
si464	morphology	moods; mood system	0.50
si464	syntax	moods; mood system	0.40
si464	clause	moods; mood system	0.30
si465	morphology	questions; interrogatives; question types	1.00
si465	syntax	questions; interrogatives; question types	0.80
si465	clause	questions; interrogatives; question types	0.60
si466	clause	conditional	1.00
si466	discourse	conditional	0.80
si466	morphology	conditional	0.70
si466	syntax	conditional	0.56
si467	morphology	deliberative	1.00
si467	syntax	deliberative	0.80
si467	clause	deliberative	0.60
si468	morphology	direct	1.00
si468	syntax	direct	0.80
si468	clause	direct	0.42
si469	morphology	future; tense	1.00
si469	clause	future; tense	1.00
si469	syntax	future; tense	0.80
si470	morphology	indirect	1.00
si470	syntax	indirect	0.80
si470	discourse	indirect	0.70
si470	clause	indirect	0.60
si471	morphology	indicative	1.00
si471	syntax	indicative	0.80
si471	clause	indicative	0.60
si472	morphology	interrogative	1.00
si472	syntax	interrogative	0.80
si472	clause	interrogative	0.42
si473	morphology	rhetorical	0.70
si473	syntax	rhetorical	0.56
si473	clause	rhetorical	0.42
si474	morphology	subjunctive	1.00
si474	syntax	subjunctive	0.80
si474	clause	subjunctive	0.70
si475	morphology	recitative; ὅτι; redundancy	1.00
si475	syntax	recitative; ὅτι; redundancy	0.80
si475	discourse	recitative; ὅτι; redundancy	0.70
si475	clause	recitative; ὅτι; redundancy	0.42
si476	morphology	subject; grammatical subject (general)	1.00
si476	syntax	subject; grammatical subject (general)	0.80
si476	clause	subject; grammatical subject (general)	0.60
si477	morphology	compound	1.00
si477	syntax	compound	0.70
si477	clause	compound	0.42
si478	morphology	focus	0.70
si478	syntax	focus	0.56
si478	clause	focus	0.42
si479	morphology	impersonal	1.00
si479	syntax	impersonal	0.80
si479	clause	impersonal	0.42
si480	morphology	personal	1.00
si480	syntax	personal	0.80
si480	clause	personal	0.42
si481	morphology	tense; tense system; time of action	0.50
si482	morphology	also; individual; tenses; affected	0.35
si483	morphology	moods	0.35
si484	morphology	nontemporal; view	0.35
si485	morphology	time	1.00
si485	syntax	time	0.80
si485	clause	time	0.60
si486	morphology	passim; unaffected	0.35
si487	morphology	tsks; granville; sharp; construction	1.00
si487	syntax	tsks; granville; sharp; construction	0.80
si488	morphology	voice; voice system	0.50
si488	syntax	voice; voice system	0.40
si489	discourse	adverb; adverbial modifier	0.50
si489	morphology	adverb; adverbial modifier	0.30
si490	morphology	article	1.00
si490	syntax	article	0.80
si490	discourse	article	0.35
si491	morphology	genitive	1.00
si491	syntax	genitive	0.80
si491	discourse	genitive	0.35
si492	clause	comparative	1.00
si492	discourse	comparative	0.80
si492	morphology	comparative	0.21
si493	morphology	relative	1.00
si493	syntax	relative	0.80
si493	clause	relative	0.70
si493	discourse	relative	0.35
si494	morphology	temporal	1.00
si494	clause	temporal	1.00
si494	discourse	temporal	0.80
si494	syntax	temporal	0.80
si495	morphology	discourse; direct/indirect discourse; reported speech	1.00
si495	syntax	discourse; direct/indirect discourse; reported speech	0.80
si495	discourse	discourse; direct/indirect discourse; reported speech	0.70
si495	clause	discourse; direct/indirect discourse; reported speech	0.60
si496	morphology	direct	1.00
si496	syntax	direct	0.80
si496	discourse	direct	0.49
si496	clause	direct	0.42
si497	morphology	indirect	1.00
si497	syntax	indirect	0.80
si497	discourse	indirect	0.70
si497	clause	indirect	0.60
si498	morphology	gender; grammatical gender	1.00
si498	syntax	gender; grammatical gender	0.80
si499	morphology	pronouns	1.00
si499	syntax	pronouns	0.80
si500	discourse	grammar; grammatical theory	0.50
si500	morphology	grammar; grammatical theory	0.30
si501	morphology	descriptive	1.00
si501	syntax	descriptive	0.80
si501	discourse	descriptive	0.35
si502	discourse	prescriptive	0.35
si502	morphology	prescriptive	0.21
si503	discourse	transformational	0.35
si503	morphology	transformational	0.21
si504	morphology	neuter; gender	1.00
si504	syntax	neuter; gender	0.80
si505	morphology	accusative	1.00
si505	syntax	accusative	0.80
si506	morphology	nominative	1.00
si506	syntax	nominative	0.80
si507	morphology	singular	1.00
si507	syntax	singular	0.70
si508	morphology	plural	1.00
si508	syntax	plural	0.80
si509	morphology	noun; substantive	1.00
si509	syntax	noun; substantive	0.80
si510	morphology	abstract	1.00
si510	syntax	abstract	0.80
si511	morphology	adjectival	1.00
si511	clause	adjectival	1.00
si511	syntax	adjectival	0.80
si512	morphology	anarthrous	1.00
si512	syntax	anarthrous	0.80
si513	morphology	articular	0.70
si513	syntax	articular	0.56
si514	morphology	concrete	0.70
si514	syntax	concrete	0.56
si515	morphology	definite	1.00
si515	syntax	definite	0.80
si516	morphology	generic	1.00
si516	syntax	generic	0.80
si517	morphology	impersonal	1.00
si517	syntax	impersonal	0.80
si518	morphology	indeclinable	1.00
si518	syntax	indeclinable	0.80
si519	morphology	indefinite	1.00
si519	syntax	indefinite	0.80
si520	morphology	monadic	1.00
si520	syntax	monadic	0.80
si521	morphology	nominal	0.70
si521	syntax	nominal	0.56
si522	morphology	par; excellence	1.00
si522	syntax	par; excellence	0.80
si523	morphology	personal	1.00
si523	syntax	personal	0.80
si524	morphology	proper	1.00
si524	syntax	proper	0.80
si524	clause	proper	0.60
si525	morphology	qualitative	1.00
si525	syntax	qualitative	0.80
si526	morphology	verbal	1.00
si526	syntax	verbal	0.80
si526	clause	verbal	0.60
si527	discourse	sentence; sentence structure	0.50
si527	morphology	sentence; sentence structure	0.30
si528	discourse	complex	0.35
si528	morphology	complex	0.21
si529	morphology	compound	1.00
si529	syntax	compound	0.70
si529	discourse	compound	0.35
si530	morphology	passive; transform	1.00
si530	syntax	passive; transform	0.80
si530	discourse	passive; transform	0.35
si531	discourse	structure	0.35
si531	morphology	structure	0.21
si532	discourse	types	0.35
si532	morphology	types	0.21
si533	discourse	style	0.35
si533	morphology	style	0.21
si534	morphology	verb; verb forms (general)	1.00
si534	syntax	verb; verb forms (general)	0.70
si535	morphology	augment	0.70
si535	syntax	augment	0.49
si536	morphology	communication	0.70
si536	syntax	communication	0.49
si537	morphology	copula; verb; equative; desiring	1.00
si537	syntax	copula; verb; equative; desiring	0.70
si538	morphology	equative	0.70
si538	syntax	equative	0.49
si539	morphology	exhorting	0.70
si539	syntax	exhorting	0.49
si540	morphology	fearing	1.00
si540	syntax	fearing	0.80
si540	clause	fearing	0.60
si541	morphology	filling	0.70
si541	syntax	filling	0.49
si542	morphology	impersonal	1.00
si542	syntax	impersonal	0.80
si543	morphology	intransitive	0.70
si543	syntax	intransitive	0.49
si544	morphology	perception	0.70
si544	syntax	perception	0.49
si545	morphology	plural	1.00
si545	syntax	plural	0.80
si546	morphology	singular	1.00
si546	syntax	singular	0.70
si547	morphology	speaking	0.70
si547	syntax	speaking	0.49
si548	morphology	stative	1.00
si548	syntax	stative	0.80
si549	morphology	transitive	0.70
si549	syntax	transitive	0.49
si550	discourse	apocalypse; grammar	0.50
si550	morphology	apocalypse; grammar	0.30
si551	morphology	apollonius; canon	0.50
si551	syntax	apollonius; canon	0.40
si551	discourse	apollonius; canon	0.35
si552	discourse	aktionsart	0.50
si552	morphology	aktionsart	0.30
si553	discourse	anacoluthon	0.35
si553	morphology	anacoluthon	0.21
si554	discourse	anaphora	0.50
si554	morphology	anaphora	0.30
si555	morphology	antecedent	1.00
si555	syntax	antecedent	0.80
si555	clause	antecedent	0.60
si556	morphology	apposition	1.00
si556	syntax	apposition	0.80
si556	clause	apposition	0.60
si557	discourse	asyndeton	0.50
si557	morphology	asyndeton	0.30
si558	morphology	cause; causality	1.00
si558	clause	cause; causality	1.00
si558	syntax	cause; causality	0.80
si559	morphology	constructio; sensum	1.00
si559	syntax	constructio; sensum	0.80
si560	discourse	contrast	0.50
si560	morphology	contrast	0.30
si561	discourse	convertible; proposition	0.50
si561	morphology	convertible; proposition	0.30
si562	morphology	direct; object	1.00
si562	syntax	direct; object	0.80
si562	clause	direct; object	0.60
si563	morphology	discourse; analysis	1.00
si563	syntax	discourse; analysis	0.80
si563	discourse	discourse; analysis	0.70
si563	clause	discourse; analysis	0.60
si564	discourse	imperfective	0.50
si564	morphology	imperfective	0.30
si565	discourse	papyri	0.50
si565	morphology	papyri	0.30
si566	discourse	paragraph	0.50
si566	morphology	paragraph	0.30
si567	discourse	parataxis	0.50
si567	morphology	parataxis	0.30
si568	discourse	poetry	0.50
si568	morphology	poetry	0.30
si569	discourse	position	0.50
si569	morphology	position	0.30
si570	morphology	predicate	1.00
si570	syntax	predicate	0.80
si570	clause	predicate	0.60
si570	discourse	predicate	0.35
si571	morphology	possession	1.00
si571	syntax	possession	0.80
si572	morphology	postcedent	1.00
si572	syntax	postcedent	0.80
si573	morphology	purpose	1.00
si573	clause	purpose	1.00
si573	syntax	purpose	0.80
si573	discourse	purpose	0.80
si574	discourse	speech; act; theory	0.50
si574	morphology	speech; act; theory	0.30
si575	discourse	subset; proposition	0.50
si575	morphology	subset; proposition	0.30
si576	morphology	verbless; constructions	1.00
si576	syntax	verbless; constructions	0.80
cs255	morphology	indicative; ὅτι; hoti clause; content clause; ὅτι clause; causal hoti; epexegetical hoti	1.00
cs255	clause	indicative; ὅτι; hoti clause; content clause; ὅτι clause; causal hoti; epexegetical hoti	1.00
cs255	syntax	indicative; ὅτι; hoti clause; content clause; ὅτι clause; causal hoti; epexegetical hoti	0.80
cs270	morphology	ἵνα; subjunctive; hina clause; purpose clause; result clause; telic clause; final clause; ἵνα clause	1.00
cs270	clause	ἵνα; subjunctive; hina clause; purpose clause; result clause; telic clause; final clause; ἵνα clause	1.00
cs270	syntax	ἵνα; subjunctive; hina clause; purpose clause; result clause; telic clause; final clause; ἵνα clause	0.80
cs1	morphology	subject; grammatical subject	1.00
cs1	syntax	subject; grammatical subject	0.80
cs10	morphology	nominative; appellation	1.00
cs10	syntax	nominative; appellation	0.80
cs100	morphology	personal; pronoun	1.00
cs100	syntax	personal; pronoun	0.80
cs101	morphology	alternative; pronoun	1.00
cs101	syntax	alternative; pronoun	0.80
cs102	morphology	relative; pronoun	1.00
cs102	syntax	relative; pronoun	0.80
cs103	morphology	possessive; pronoun	1.00
cs103	syntax	possessive; pronoun	0.80
cs104	morphology	substantives	1.00
cs104	syntax	substantives	0.80
cs105	morphology	individualizing; article; simple; identification	1.00
cs105	syntax	individualizing; article; simple; identification	0.80
cs106	morphology	anaphoric	1.00
cs106	syntax	anaphoric	0.80
cs107	morphology	kataphoric	1.00
cs107	syntax	kataphoric	0.80
cs108	morphology	deictic	1.00
cs108	syntax	deictic	0.80
cs109	morphology	par; excellence	1.00
cs109	syntax	par; excellence	0.80
cs11	morphology	nominative; apposition; oblique; cases	1.00
cs11	syntax	nominative; apposition; oblique; cases	0.80
cs110	morphology	monadic	1.00
cs110	syntax	monadic	0.80
cs111	morphology	well; known	1.00
cs111	syntax	well; known	0.80
cs112	morphology	abstract	1.00
cs112	syntax	abstract	0.80
cs113	morphology	generic	1.00
cs113	syntax	generic	0.80
cs114	morphology	substantiver	1.00
cs114	syntax	substantiver	0.80
cs115	morphology	adverbs	1.00
cs115	syntax	adverbs	0.80
cs116	morphology	adjectives; adjective	1.00
cs116	syntax	adjectives; adjective	0.80
cs117	morphology	participles	1.00
cs117	syntax	participles	0.80
cs118	morphology	infinitives	1.00
cs118	syntax	infinitives	0.80
cs119	morphology	genitive; word; phrase	1.00
cs119	syntax	genitive; word; phrase	0.80
cs12	morphology	nominative; after; preposition	1.00
cs12	syntax	nominative; after; preposition	0.80
cs120	morphology	prepositional; phrase	1.00
cs120	syntax	prepositional; phrase	0.80
cs121	morphology	particles	1.00
cs121	syntax	particles	0.80
cs122	morphology	finite; verbs	1.00
cs122	syntax	finite; verbs	0.80
cs123	morphology	clauses; statements; quotations	1.00
cs123	syntax	clauses; statements; quotations	0.80
cs123	clause	clauses; statements; quotations	0.70
cs124	morphology	function; marker	1.00
cs124	syntax	function; marker	0.80
cs125	morphology	denote; adjectival; positions	1.00
cs125	syntax	denote; adjectival; positions	0.80
cs126	morphology	possessive; pronouns	1.00
cs126	syntax	possessive; pronouns	0.80
cs127	morphology	genitive; phrases	1.00
cs127	syntax	genitive; phrases	0.80
cs128	morphology	indeclinable; nouns	1.00
cs128	syntax	indeclinable; nouns	0.80
cs129	morphology	participles	1.00
cs129	syntax	participles	0.80
cs13	morphology	nominative; time	1.00
cs13	syntax	nominative; time	0.80
cs130	morphology	demonstratives	1.00
cs130	syntax	demonstratives	0.80
cs131	morphology	nominative; nouns	1.00
cs131	syntax	nominative; nouns	0.80
cs132	morphology	distinguish; subject; predicate; nominative; object; complement	1.00
cs132	syntax	distinguish; subject; predicate; nominative; object; complement	0.80
cs133	morphology	infinitive	1.00
cs133	syntax	infinitive	0.80
cs134	morphology	absence; article	1.00
cs134	syntax	absence; article	0.80
cs135	morphology	indefinite	1.00
cs135	syntax	indefinite	0.80
cs136	morphology	qualitative	1.00
cs136	syntax	qualitative	0.80
cs137	morphology	definite	1.00
cs137	syntax	definite	0.80
cs138	morphology	article	1.00
cs138	syntax	article	0.80
cs139	morphology	proper; names	1.00
cs139	syntax	proper; names	0.80
cs140	morphology	object; preposition	1.00
cs140	syntax	object; preposition	0.80
cs141	morphology	ordinal; numbers	1.00
cs141	syntax	ordinal; numbers	0.80
cs142	morphology	predicate; nominative; predicate noun; subject complement	1.00
cs142	syntax	predicate; nominative; predicate noun; subject complement	0.80
cs143	morphology	complement; object; construction	1.00
cs143	syntax	complement; object; construction	0.80
cs144	morphology	monadic; nouns	1.00
cs144	syntax	monadic; nouns	0.80
cs145	morphology	abstract; nouns	1.00
cs145	syntax	abstract; nouns	0.80
cs146	morphology	genitive; construction; apollonius corollary; apollonius canon	1.00
cs146	syntax	genitive; construction; apollonius corollary; apollonius canon	0.80
cs147	morphology	pronominal; adjective	1.00
cs147	syntax	pronominal; adjective	0.80
cs148	morphology	generic; nouns	1.00
cs148	syntax	generic; nouns	0.80
cs149	morphology	anarthrous; pre; verbal; predicate; nominatives; colwell's rule; colwell rule; predicate nominative without article	1.00
cs149	syntax	anarthrous; pre; verbal; predicate; nominatives; colwell's rule; colwell rule; predicate nominative without article	0.80
cs15	morphology	simple; address	1.00
cs15	syntax	simple; address	0.80
cs150	morphology	article; multiple; substantives; connected; kai; sharp's rule; granville sharp rule; tsks construction	1.00
cs150	syntax	article; multiple; substantives; connected; kai; sharp's rule; granville sharp rule; tsks construction	0.80
cs152	morphology	adjectival; adjective	1.00
cs152	syntax	adjectival; adjective	0.80
cs153	morphology	adverbial	1.00
cs153	syntax	adverbial	0.80
cs154	morphology	substantival	1.00
cs154	syntax	substantival	0.80
cs155	morphology	degrees; adjective	1.00
cs155	syntax	degrees; adjective	0.80
cs156	morphology	positive; normal	1.00
cs156	syntax	positive; normal	0.80
cs157	morphology	positive; comparative	1.00
cs157	syntax	positive; comparative	0.80
cs158	morphology	positive; superlative	1.00
cs158	syntax	positive; superlative	0.80
cs159	morphology	comparative; normal	1.00
cs159	syntax	comparative; normal	0.80
cs16	morphology	emphatic; address	1.00
cs16	syntax	emphatic; address	0.80
cs160	morphology	comparative; superlative	1.00
cs160	syntax	comparative; superlative	0.80
cs161	morphology	comparative; elative	1.00
cs161	syntax	comparative; elative	0.80
cs162	morphology	superlative; normal	1.00
cs162	syntax	superlative; normal	0.80
cs163	morphology	superlative; elative	1.00
cs163	syntax	superlative; elative	0.80
cs164	morphology	superlative; comparative	1.00
cs164	syntax	superlative; comparative	0.80
cs165	morphology	relation; adjective; noun; when; article; present	1.00
cs165	syntax	relation; adjective; noun; when; article; present	0.80
cs166	morphology	attributive; positions; first	1.00
cs166	syntax	attributive; positions; first	0.80
cs167	morphology	attributive; positions; second	1.00
cs167	syntax	attributive; positions; second	0.80
cs168	morphology	attributive; positions; third	1.00
cs168	syntax	attributive; positions; third	0.80
cs169	morphology	predicate; positions; first	1.00
cs169	syntax	predicate; positions; first	0.80
cs17	morphology	exclamation	1.00
cs17	syntax	exclamation	0.80
cs170	morphology	predicate; positions; second	1.00
cs170	syntax	predicate; positions; second	0.80
cs171	morphology	when; article; absent	1.00
cs171	syntax	when; article; absent	0.80
cs172	morphology	anarthrous; adjective; noun; construction	1.00
cs172	syntax	anarthrous; adjective; noun; construction	0.80
cs173	morphology	anarthrous; noun; adjective; construction	1.00
cs173	syntax	anarthrous; noun; adjective; construction	0.80
cs175	morphology	personal; pronouns	1.00
cs175	syntax	personal; pronouns	0.80
cs176	morphology	nominative; emphasis	1.00
cs176	syntax	nominative; emphasis	0.80
cs177	morphology	nominative; redundancy	1.00
cs177	syntax	nominative; redundancy	0.80
cs177	discourse	nominative; redundancy	0.70
cs178	morphology	oblique; cases; normal	1.00
cs178	syntax	oblique; cases; normal	0.80
cs179	morphology	oblique; cases; possessive	1.00
cs179	syntax	oblique; cases; possessive	0.80
cs18	morphology	apposition; appositive	1.00
cs18	syntax	apposition; appositive	0.80
cs180	morphology	oblique; cases; reflexive	1.00
cs180	syntax	oblique; cases; reflexive	0.80
cs181	morphology	demonstrative; pronouns	1.00
cs181	syntax	demonstrative; pronouns	0.80
cs182	morphology	regular; οὗτος; ἐκεῖνος; ὅδε	1.00
cs182	syntax	regular; οὗτος; ἐκεῖνος; ὅδε	0.80
cs183	morphology	regular; personal; pronouns	1.00
cs183	syntax	regular; personal; pronouns	0.80
cs184	morphology	unusual; pleonastic	1.00
cs184	syntax	unusual; pleonastic	0.80
cs185	morphology	unusual; constructio; sensum	1.00
cs185	syntax	unusual; constructio; sensum	0.80
cs186	morphology	unusual; conceptual; antecedent; postcedent	1.00
cs186	syntax	unusual; conceptual; antecedent; postcedent	0.80
cs187	morphology	relative; pronouns	1.00
cs187	syntax	relative; pronouns	0.80
cs188	morphology	regular	1.00
cs188	syntax	regular	0.80
cs189	morphology	unusual; natural; grammatical; gender	1.00
cs189	syntax	unusual; natural; grammatical; gender	0.80
cs190	morphology	unusual; case	1.00
cs190	syntax	unusual; case	0.80
cs191	morphology	unusual; attraction	1.00
cs191	syntax	unusual; attraction	0.80
cs192	morphology	unusual; inverse; attraction	1.00
cs192	syntax	unusual; inverse; attraction	0.80
cs193	morphology	unusual; antecedent; complexities	1.00
cs193	syntax	unusual; antecedent; complexities	0.80
cs194	morphology	unusual; omission; antecedent	1.00
cs194	syntax	unusual; omission; antecedent	0.80
cs195	morphology	unusual; adverbial; conjunctive	1.00
cs195	syntax	unusual; adverbial; conjunctive	0.80
cs196	morphology	ὅστις; generic	1.00
cs196	syntax	ὅστις; generic	0.80
cs197	morphology	ὅστις; qualitative	1.00
cs197	syntax	ὅστις; qualitative	0.80
cs198	morphology	interrogative; pronouns	1.00
cs198	syntax	interrogative; pronouns	0.80
cs199	morphology		1.00
cs199	syntax		0.80
cs2	morphology	predicate; nominative; predicate noun; subject complement	1.00
cs2	syntax	predicate; nominative; predicate noun; subject complement	0.80
cs20	morphology	descriptive; genitive	1.00
cs20	syntax	descriptive; genitive	0.80
cs200	morphology	ποῖος; σος	1.00
cs200	syntax	ποῖος; σος	0.80
cs201	morphology	indefinite; pronoun	1.00
cs201	syntax	indefinite; pronoun	0.80
cs202	morphology	substantival	1.00
cs202	syntax	substantival	0.80
cs203	morphology	adjectival	1.00
cs203	syntax	adjectival	0.80
cs204	morphology	possessive; pronoun	1.00
cs204	syntax	possessive; pronoun	0.80
cs205	morphology	first; plural; constructions	1.00
cs205	syntax	first; plural; constructions	0.80
cs206	morphology	editorial	1.00
cs206	syntax	editorial	0.80
cs206	discourse	editorial	0.70
cs207	morphology	inclusive	1.00
cs207	syntax	inclusive	0.80
cs208	morphology	exclusive	1.00
cs208	syntax	exclusive	0.80
cs209	morphology	possessive; adjective	1.00
cs209	syntax	possessive; adjective	0.80
cs21	morphology	possessive; genitive	1.00
cs21	syntax	possessive; genitive	0.80
cs210	morphology	personal; pronoun; genitive	1.00
cs210	syntax	personal; pronoun; genitive	0.80
cs211	morphology	intensive; pronoun	1.00
cs211	syntax	intensive; pronoun	0.80
cs212	morphology	identifying; adjective	1.00
cs212	syntax	identifying; adjective	0.80
cs213	morphology	third; person; personal; pronoun	1.00
cs213	syntax	third; person; personal; pronoun	0.80
cs214	morphology	reflexive; pronoun	1.00
cs214	syntax	reflexive; pronoun	0.80
cs215	morphology	reciprocal; pronoun	1.00
cs215	syntax	reciprocal; pronoun	0.80
cs217	morphology	neuter; plural; subject; singular; verb	1.00
cs217	syntax	neuter; plural; subject; singular; verb	0.70
cs218	morphology	collective; singular; subject; plural; verb	1.00
cs218	syntax	collective; singular; subject; plural; verb	0.70
cs219	morphology	compound; subject; singular; verb	1.00
cs219	syntax	compound; subject; singular; verb	0.70
cs22	morphology	genitive; relationship	1.00
cs22	syntax	genitive; relationship	0.80
cs220	morphology	indefinite; plural	1.00
cs221	morphology	categorical; plural	1.00
cs224	morphology	first; third; person	1.00
cs225	morphology	second; third; person	1.00
cs227	morphology	simple; active	1.00
cs227	syntax	simple; active	0.80
cs228	morphology	causative; active	1.00
cs228	syntax	causative; active	0.80
cs229	morphology	stative; active	1.00
cs229	syntax	stative; active	0.80
cs23	morphology	partitive; genitive	1.00
cs23	syntax	partitive; genitive	0.80
cs230	morphology	reflexive; active	1.00
cs230	syntax	reflexive; active	0.80
cs232	morphology	direct; middle	1.00
cs232	syntax	direct; middle	0.80
cs233	morphology	redundant; middle	1.00
cs233	syntax	redundant; middle	0.80
cs233	discourse	redundant; middle	0.70
cs234	morphology	indirect; middle	1.00
cs234	syntax	indirect; middle	0.80
cs235	morphology	causative; middle	1.00
cs235	syntax	causative; middle	0.80
cs236	morphology	permissive; middle	1.00
cs236	syntax	permissive; middle	0.80
cs237	morphology	reciprocal; middle	1.00
cs237	syntax	reciprocal; middle	0.80
cs238	morphology	deponent; middle	1.00
cs238	syntax	deponent; middle	0.80
cs24	morphology	attributive; genitive	1.00
cs24	syntax	attributive; genitive	0.80
cs240	morphology	passive; constructions; agency construction; expressed agent; passive agent	1.00
cs240	syntax	passive; constructions; agency construction; expressed agent; passive agent	0.80
cs241	morphology	without; agency; expressed; ultimate; agent	1.00
cs241	syntax	without; agency; expressed; ultimate; agent	0.80
cs242	morphology	without; agency; expressed; intermediate; agent	1.00
cs242	syntax	without; agency; expressed; intermediate; agent	0.80
cs243	morphology	without; agency; expressed; impersonal; means	1.00
cs243	syntax	without; agency; expressed; impersonal; means	0.80
cs244	morphology	without; agency; expressed	1.00
cs244	syntax	without; agency; expressed	0.80
